Subzone,Population
Ang Mo Kio Town Centre,2260
Cheng San,13480
Chong Boon,12860
Kebun Bahru,10660
Sembawang Hills,3210
Shangri-La,7780
Tagore,3790
Townsville,9930
Yio Chu Kang,0
Yio Chu Kang East,2090
Yio Chu Kang North,0
Yio Chu Kang West,11520
Bayshore,3580
Bedok North,39700
Bedok Reservoir,12480
Bedok South,22540
Frankel,16260
Kaki Bukit,18210
Kembangan,18460
Siglap,2980
Bishan East,13420
Marymount,14680
Upper Thomson,14160
Liu Fang,0
Samulun,0
Shipyard,0
Tukang,0
Brickworks,9800
Bukit Batok Central,13290
Bukit Batok East,6290
Bukit Batok South,7360
Bukit Batok West,7300
Gombak,4840
Guilin,6290
Hillview,9290
Hong Kah North,13030
Alexandra Hill,6630
Alexandra North,1230
Bukit Ho Swee,7050
Bukit Merah,550
City Terminals,0
Depot Road,3090
Everton Park,3680
Henderson Hill,6490
Kampong Tiong Bahru,4440
Maritime Square,1770
Redhill,5150
Singapore General Hospital,0
Telok Blangah Drive,9170
Telok Blangah Rise,5740
Telok Blangah Way,4610
Tiong Bahru,5990
Tiong Bahru Station,7140
Bangkit,11010
Dairy Farm,3350
Fajar,13870
Jelebu,15370
Nature Reserve,1810
Saujana,12830
Senja,9920
Anak Bukit,10370
Coronation Road,3050
Farrer Court,2900
Hillcrest,4170
Holland Road,4800
Leedon Park,2960
Swiss Club,2470
Ulu Pandan,5280
Central Water Catchment,0
Changi Airport,0
Changi Point,300
Changi West,660
Changi Bay,0
Choa Chu Kang Central,11180
Choa Chu Kang North,15860
Keat Hong,19010
Peng Siang,17340
Teck Whye,12190
Yew Tee,20100
Clementi Central,6600
Clementi North,13400
Clementi West,7310
Clementi Woods,7660
Faber,2620
Pandan,0
Sunset Way,2640
Toh Tuck,0
West Coast,3370
Anson,0
Bayfront Subzone,0
Bugis,440
Cecil,130
Central Subzone,410
City Hall,0
Clifford Pier,0
Marina Centre,0
Maxwell,0
Nicoll,150
Phillip,0
Raffles Place,0
Tanjong Pagar,350
Aljunied,19740
Geylang East,14540
Kallang Way,0
Kampong Ubi,5890
Macpherson,14070
Defu Industrial Park,0
Hougang Central,2350
Hougang East,12110
Hougang West,22410
Kangkar,15740
Kovan,11960
Lorong Ah Soo,15270
Lorong Halus,0
Tai Seng,6670
Trafalgar,24950
International Business Park,0
Jurong Gateway,210
Jurong Port,0
Jurong River,0
Lakeside (Business),0
Lakeside (Leisure),570
Penjuru Crescent,0
Teban Gardens,9250
Toh Guan,7230
Yuhua East,12120
Yuhua West,9530
Boon Lay Place,15060
Chin Bee,0
Hong Kah,26650
Jurong West Central,31810
Kian Teck,0
Safti,0
Taman Jurong,19920
Wenya,4170
Yunnan,34250
Bendemeer,18240
Boon Keng,5630
Crawford,4630
Geylang Bahru,5620
Kallang Bahru,0
Kampong Bugis,460
Kampong Java,5140
Lavender,5070
Tanjong Rhu,5230
Lim Chu Kang,60
Mandai East,0
Mandai Estate,990
Mandai West,0
Marina East,0
Marina South,0
East Coast,0
Katong,4440
Marina East (Mp),0
Marine Parade,12530
Mountbatten,4720
Bras Basah,0
Dhoby Ghaut,160
Fort Canning,90
Cairnhill,1830
Goodwood Park,600
Istana Negara,0
Monk's Hill,520
Newton Circus,140
Orange Grove,840
North-Eastern Islands,0
Balestier,15670
Dunearn,1800
Malcolm,1380
Moulmein,4720
Mount Pleasant,350
Boulevard,210
Somerset,60
Tanglin,170
China Square,670
Chinatown,5040
Pearl's Hill,3370
People's Park,140
Flora Drive,7200
Loyang East,1060
Loyang West,100
Pasir Ris Central,15750
Pasir Ris Drive,26940
Pasir Ris Park,3760
Pasir Ris Wafer Fab Park,0
Pasir Ris West,17720
Airport Road,0
Paya Lebar East,0
Paya Lebar North,0
Paya Lebar West,0
Plab,0
Benoi Sector,0
Gul Basin,0
Gul Circle,0
Joo Koon,0
Pioneer Sector,0
Coney Island,0
Matilda,25610
Northshore,230
Punggol Canal,0
Punggol Field,24120
Punggol Town Centre,10920
Waterway East,25050
Commonwealth,3230
Dover,5260
Ghim Moh,6470
Holland Drive,5760
Kent Ridge,0
Margaret Drive,7710
Mei Chin,7350
National University Of S'pore,70
One North,350
Pasir Panjang 1,2200
Pasir Panjang 2,1490
Port,60
Queensway,130
Singapore Polytechnic,0
Tanglin Halt,4960
Institution Hill,1500
Leonie Hill,1430
One Tree Hill,910
Oxley,670
Paterson,110
Bencoolen,620
Farrer Park,1350
Kampong Glam,80
Little India,1680
Mackenzie,60
Mount Emily,770
Rochor Canal,0
Selegie,110
Sungei Road,1020
Victoria,840
Pulau Punggol Barat,0
Pulau Punggol Timor,0
Seletar,130
Seletar Aerospace Park,0
Admiralty,6860
Sembawang Central,17060
Sembawang East,8550
Sembawang North,12750
Sembawang Springs,4480
Sembawang Straits,980
Senoko North,0
Senoko South,0
The Wharves,0
Anchorvale,23700
Compassvale,10170
Fernvale,28860
Lorong Halus North,0
Rivervale,29460
Sengkang Town Centre,30290
Sengkang West,0
Lorong Chuan,4090
Seletar Hills,7250
Serangoon Central,11800
Serangoon Garden,17220
Serangoon North,7840
Serangoon North Ind Estate,0
Upper Paya Lebar,8160
Pulau Seletar,0
Simpang North,0
Simpang South,0
Tanjong Irau,0
Boat Quay,70
Clarke Quay,70
Robertson Quay,1390
Sentosa,920
Southern Group,0
Straits View,0
Gali Batu,0
Kranji,0
Pang Sua,0
Reservoir View,0
Turf Club,330
Simei,19050
Tampines East,63960
Tampines North,3950
Tampines West,39150
Xilin,890
Chatsworth,3190
Nassim,4410
Ridout,690
Tyersall,1810
Brickland,0
Forest Hill,0
Garden,0
Park,0
Plantation,0
Tengah Industrial Estate,0
Bidadari,0
Boon Teck,7210
Braddell,4590
Joo Seng,4030
Kim Keat,3840
Lorong 8 Toa Payoh,3420
Pei Chun,4940
Potong Pasir,5660
Sennett,3480
Toa Payoh Central,12960
Toa Payoh West,6570
Woodleigh,1200
Tengeh,0
Tuas Bay,0
Tuas North,0
Tuas Promenade,0
Tuas View,0
Tuas View Extension,0
Jurong Island And Bukom,0
Semakau,0
Sudong,0
Bahar,0
Cleantech,0
Murai,290
Greenwood Park,0
Midview,17660
North Coast,6130
Senoko West,0
Woodgrove,16870
Woodlands East,49490
Woodlands Regional Centre,0
Woodlands South,20540
Woodlands West,17260
Khatib,4980
Lower Seletar,9240
Nee Soon,440
Northland,13930
Springleaf,2180
Yishun Central,1290
Yishun East,30030
Yishun South,20670
Yishun West,26720
